0,0,0,6,0,0
0,6,0,7.34,1002,1
0,7.34,0,19.35,0,1
0,19.35,0,21.55,1023,1
0,21.55,1,3.33,0,2
1,3.33,1,3.35,1000,1
1,3.35,1,6.36,0,1
1,6.36,1,7.23,1023,1
1,7.23,1,19.36,0,1
1,19.36,1,22,800,2
1,22,1,22.23,1000,3
1,22.23,2,19.44,0,3
2,19.44,2,23.56,1000,1
2,23.56,3,3.3,0,1
3,3.3,3,3.39,300,1
3,3.39,3,5.5,0,1
3,5.5,3,7,1023,1
3,7,3,19.73,0,1
3,19.73,3,22.254,900,1
3,22.254,4,19.455,0,2
4,19.455,5,20.24,400,2
5,20.24,5,21.84,600,2
5,21.84,6,6.487,0,2
6,6.487,6,6.55,1003,2
6,6.55,6,19.45,0,2
6,19.45,6,22.98,700,4
6,22.98,7,19.74,0,1
7,19.74,7,23.83,800,1
7,23.83,8,2.73,0,1
8,2.73,8,2.75,500,4
8,2.75,8,19.445,0,4
8,19.445,9,1.3,1000,2
9,1.3,9,6.34,0,2
9,6.34,9,7.01,1023,1
9,7.01,9,18.92,0,1
9,18.92,9,24,800,1
