0,0,0,6,0,0
0,6,0,6.2,400,1
0,6.2,0,6.55,0,1
0,6.55,0,6.86,300,3
0,6.86,0,8.23,0,4
0,8.23,0,8.55,400,2
0,8.55,1,6.23,0,2
1,6.23,1,8.01,400,2
1,8.01,2,6.34,0,2
2,6.34,2,7.93,350,1
2,7.93,3,2.23,0,1
3,2.23,3,2.25,500,2
3,2.25,3,6.3,0,2
3,6.3,3,8.44,400,1
3,8.44,3,17.02,0,1
3,17.02,3,17.05,450,3
3,17.05,4,5.78,0,3
4,5.78,4,6.34,600,3
4,6.34,4,8.33,450,1
4,8.33,5,5.33,0,1
5,5.33,5,8.44,600,1
5,8.44,6,5.78,0,1
6,5.78,6,7.45,400,2
6,7.45,6,8.01,600,1
6,8.01,7,6.263,0,4
7,6.263,7,6.347,460,1
7,6.347,7,8.34,540,2
7,8.34,8,7.01,0,2
8,7.01,8,9.11,420,2
8,9.11,9,6.87,0,1
9,6.87,9,8.34,450,2
9,8.34,9,24,0,1
